"mturk_id","trial_type","stim_type","train_type","category_type","dimension","z"
158,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.50828911585572
158,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.170192716372819
159,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.238530069932353
159,"Similarity","LD","TRAIN","WITHIN","shape-relevant",-0.0127114594054447
160,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",-0.137885175089757
160,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.0516635943750588
161,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.356123389791063
161,"Similarity","HD","TRAIN","WITHIN","shape-relevant",-0.239017589825177
162,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",-0.511618126204346
162,"Similarity","LD","CONTROL","WITHIN","shape-relevant",-0.499100754635915
163,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.489538356321671
163,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.158955350675898
164,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.733686715510987
164,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.815649479021993
165,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.50828911585572
165,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.67733731559717
166,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",0.437110926490898
166,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.459989630215305
167,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",-0.128127636112092
167,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",0.102573436476239
168,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",1.0584179076646
168,"Similarity","LD","TRAIN","WITHIN","shape-relevant",0.643953826843209
169,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",-0.393301282765348
169,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",-0.247455777106057
170,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.717638853128124
170,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.69234865342864
171,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.913729531957452
171,"Similarity","HD","TRAIN","WITHIN","shape-relevant",-0.466702851752916
172,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",0.116809074349204
172,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",-0.0326651233169206
173,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.161043598261722
173,"XAB","HD","TRAIN","WITHIN","shape-relevant",-0.154254578888941
174,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.62865481714846
174,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.161488628255223
175,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.862073993634063
175,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.532489613352893
176,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.610296005514761
176,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.598286858055123
177,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.135261754492796
177,"Similarity","HD","CONTROL","WITHIN","shape-relevant",-0.0725689655522287
178,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.153656992340054
